,City,City_Id,Latitude,Temperature,Cloud_Index,Humidity,Wind
182,sao joao da barra,3448903,-21.64,79.92,64,100,10.33
183,tautira,4033557,-17.73,82.4,75,83,20.8
184,laguna,4013704,27.52,78.8,5,27,12.75
185,ribeira grande,3372707,38.52,59.62,88,99,17.6
186,thompson,6165406,55.74,-5.81,75,63,8.05
187,vestmannaeyjar,3412093,63.44,38.47,88,100,32.26
188,kishcha,474663,42.18,15.75,80,86,2.1
189,evensk,2125693,61.92,-2.3,80,100,5.75
190,severo-kurilsk,2121385,50.68,20.92,36,100,7.43
191,ryotsu,1853371,38.08,39.2,75,51,18.34
192,coahuayana,3981460,18.62,86.17,0,25,2.21
193,narsaq,3421719,60.91,12.2,0,51,5.91
194,klaksvik,2618795,62.23,42.8,88,100,17.22
195,leningradskiy,2123814,69.38,10.89,12,90,13.18
196,fougamou,2400578,-1.22,71.91,92,99,2.89
197,cidreira,3466165,-30.17,74.02,88,76,13.35
198,bonavista,5905393,48.65,33.21,88,89,32.19
199,tiksi,2015306,71.64,-13.37,44,61,15.37
200,kirkenaer,3150261,60.46,28.4,75,92,3.36
201,hervey bay,2146219,-25.3,80.6,32,51,12.75
202,tanabe,1850708,33.73,41.0,40,90,4.7
203,derby,2651347,52.92,51.8,75,87,11.41
204,georgetown,3378644,6.8,80.6,40,78,9.17
205,klingenthal,2887713,50.36,41.0,0,86,2.24
206,shorewood,5273084,43.09,26.6,90,68,6.93
207,puerto carreno,3671519,6.19,89.6,75,59,3.36
208,chulym,1507679,55.09,22.27,88,91,9.04
209,luocheng,7690142,28.29,38.38,92,100,6.91
210,inyonga,159134,-6.72,63.0,36,91,2.06
211,mabaruma,3377301,8.2,79.29,88,80,9.33
212,kodiak,4407665,39.95,28.4,90,33,8.05
213,hithadhoo,1282256,-0.6,83.07,92,100,7.09
214,jalu,86049,29.03,40.59,0,71,3.11
215,talara,3691582,-4.58,79.65,8,67,8.1
216,east london,1006984,-33.02,74.52,68,100,14.92
217,shingu,1847947,33.72,41.0,40,100,4.7
218,araouane,2460954,18.9,55.75,0,33,3.89
219,sibu,1735902,2.29,73.4,75,100,3.22
220,liberal,5445820,37.04,62.6,40,74,12.75
221,langnau,2660032,46.94,33.8,0,92,1.12
222,kavieng,2094342,-2.57,83.34,76,100,13.62
223,eganville,5947035,45.54,17.6,1,57,5.82
224,cacule,3468349,-14.5,73.3,24,91,2.73
225,nizhniy kuranakh,2019135,58.84,12.06,64,58,8.37
226,innisfail,5983430,52.02,3.2,90,71,16.11
227,grass valley,5353775,39.22,55.4,90,93,4.56
228,bibiani,2303060,6.45,79.29,68,67,3.22
229,wolfville,6183858,45.09,33.8,75,83,12.75
230,pontes e lacerda,3453060,-15.23,74.25,8,96,4.52
231,nikolskoye,546105,59.7,35.6,0,80,13.42
232,manokwari,1636308,-0.87,78.66,64,100,6.8
233,ixtapa,4004293,20.71,78.8,5,69,11.41
234,atuona,4020109,-9.8,81.0,76,100,7.58
235,fort nelson,5955902,58.81,1.4,90,64,6.93
236,vilyuysk,2013392,63.75,-3.02,0,74,3.78
237,pascagoula,4440397,30.37,73.4,90,82,3.36
238,nome,4732862,30.04,66.2,90,88,6.93
239,pacific grove,5380437,36.62,53.6,90,87,8.05
240,coihaique,3894426,-45.58,68.0,40,52,11.41
241,guerrero negro,4021858,27.97,61.6,0,66,23.42
242,sovetskiy,490040,56.76,10.57,8,71,3.0
243,salalah,286621,17.01,75.2,75,78,5.82
244,muskegon,5003132,43.23,28.4,1,58,3.36
245,vila velha,6320062,-3.71,80.6,75,83,4.7
246,samarai,2132606,-10.62,83.34,12,98,23.35
247,beisfjord,3144987,68.38,32.0,88,91,29.97
248,longyearbyen,2729907,78.22,-7.61,75,57,13.87
249,gat,2249901,14.69,66.2,92,72,24.16
250,upernavik,3418910,72.79,-4.78,24,100,1.99
251,palmer,5871146,61.6,21.2,90,85,5.82
252,richards bay,962367,-28.77,71.05,100,100,13.13
253,college,5859699,64.86,5.0,90,77,3.11
254,gazanjyk,161974,39.24,33.52,68,97,9.33
255,brigantine,4500920,39.41,39.2,1,48,6.93
256,balabac,1728675,7.99,80.28,92,99,12.46
257,bondo,218253,3.81,76.14,44,73,1.72
258,kokkola,651951,63.84,33.8,0,64,14.99
259,xingyi,1787599,24.19,55.44,0,78,5.01
260,solnechnyy,2016307,50.72,16.78,64,64,6.91
261,lar,133595,27.66,52.11,64,70,2.89
262,luancheng,1802204,37.88,19.4,36,62,4.47
263,isla mujeres,3526756,21.23,80.6,20,65,12.75
264,gewane,336745,10.16,68.49,56,92,3.78
265,grindavik,3416888,63.84,32.0,90,74,26.4
266,bathsheba,3374083,13.22,78.8,20,78,18.34
267,snasa,3138076,64.25,30.73,88,77,7.81
268,praia da vitoria,3372760,38.73,55.4,20,62,21.12
269,leh,1264976,34.16,-25.93,24,70,1.32
270,gladstone,2165478,-23.84,84.2,0,45,12.75
271,wangkui,2034228,46.83,10.12,0,67,10.45
272,palanga,683100,44.45,28.26,0,75,5.01
273,ahipara,2194098,-35.17,75.55,88,68,9.6
274,hofn,2630299,64.25,36.58,92,100,33.26
275,luena,3347719,-11.78,66.33,48,86,2.55
276,sobolevo,525426,54.43,32.76,8,86,17.16
277,kitob,1216187,39.12,48.2,75,66,6.93
278,katobu,1640972,-4.94,80.1,56,100,3.22
279,huesca,3120514,42.14,42.8,0,33,5.82
280,pinega,509483,64.7,28.89,92,91,7.76
281,bulgan,2032201,48.81,-16.66,0,42,2.62
282,udomlya,452949,57.88,31.63,0,90,20.62
283,bodden town,3580733,19.28,80.6,20,78,11.41
284,iranshahr,1160939,27.21,50.98,92,71,2.77
285,moron,3631878,10.49,89.6,75,52,2.77
286,ilulissat,3423146,69.22,-4.01,20,64,8.05
287,naze,2337542,5.43,73.4,0,78,9.37
288,pimentel,3389609,-3.7,73.35,92,98,2.39
289,langenburg,6049379,50.84,-0.5,44,74,7.65
290,tokur,2015217,53.13,3.33,32,58,4.74
291,sept-iles,6144312,50.2,24.8,75,85,8.05
292,hami,1529484,42.84,8.28,36,48,10.11
293,maloyaroslavets,530849,55.01,32.0,0,90,11.18
294,souillac,3026644,45.6,48.2,0,70,9.17
295,lompoc,5367788,34.64,60.8,75,66,19.46
296,port hardy,6111862,50.7,37.4,40,51,12.75
297,barranca,3946820,-10.75,74.7,0,98,12.68
298,fengzhen,2037391,40.43,-7.93,36,55,4.07
299,groa,2991771,48.67,48.2,0,70,12.75
300,sault sainte marie,5009004,46.49,17.6,1,67,9.17
301,port lincoln,2063036,-34.72,72.72,64,75,11.34
302,ponta delgada,3372783,37.73,55.4,40,71,6.93
303,teahupoo,4033543,-17.83,82.4,75,83,20.8
304,havre-saint-pierre,5972291,50.23,23.0,75,92,6.93
305,iqaluit,5983720,63.75,-16.61,90,68,4.7
306,khanpur,1174167,28.65,54.4,12,86,2.77
307,baltiysk,2609906,54.66,44.6,40,75,15.66
308,gunjur,2413419,13.18,71.6,80,68,9.17
309,belaya gora,2126785,68.54,-53.33,0,0,3.4
310,skjervoy,777682,70.03,34.29,68,100,25.26
311,grand gaube,934479,-20.01,80.6,75,78,8.05
312,nikolayevsk-na-amure,2122850,53.14,12.33,48,78,8.37
313,conceicao da barra,3465769,-18.59,76.59,76,100,7.76
314,buala,2109528,-8.15,82.48,88,87,20.74
315,sohag,347796,26.55,48.2,0,57,5.82
316,cruzeiro,3465090,-22.58,65.43,92,94,2.84
317,gazli,1513990,40.13,41.4,64,95,19.55
318,ponta do sol,3453439,-20.63,66.06,92,99,3.06
319,wahpeton,5062355,46.27,17.6,90,67,3.36
320,maloy,1628757,1.0,80.01,12,72,3.06
321,dingle,1714733,11.0,77.04,0,72,12.39
322,seryshevo,2016942,51.09,14.76,0,76,12.62
323,rocha,3440777,-34.48,67.45,0,72,8.1
324,labytnangi,1500933,66.66,-13.82,68,62,8.14
325,salinopolis,3389822,-0.61,77.76,92,100,9.66
326,ambilobe,1082243,-13.19,70.56,0,94,4.12
327,sitka,4267710,37.17,34.11,12,66,12.95
328,vilhena,3924679,-12.74,69.8,75,100,10.29
329,omsukchan,2122493,62.53,-24.67,56,66,3.4
330,redmond,5808079,47.67,44.6,90,81,6.87
331,matara,3948642,-13.74,48.82,92,92,1.5
332,ulma,617486,47.75,27.99,0,91,5.3
333,narragansett,5225535,41.45,39.2,20,51,9.17
334,gimli,5961417,50.63,0.36,56,73,5.86
335,peta,255458,39.17,44.6,0,75,8.05
336,nabire,1634614,-3.36,75.37,32,89,1.21
337,bath,2656173,51.38,50.0,90,93,9.17
338,mian channun,1170486,30.44,51.3,100,81,2.73
339,loreto,3438834,-23.27,80.28,64,61,7.02
340,harper,4696310,30.3,75.2,1,60,6.93
341,san quintin,1688687,17.54,72.13,12,68,4.29
342,anlu,1818016,31.26,31.72,76,54,8.37
343,yulara,6355222,-25.24,80.6,0,10,4.7
344,puerto escondido,3520994,15.86,82.4,90,69,9.17
345,valparaiso,4927537,41.47,30.2,90,73,8.05
346,provideniya,4031574,64.42,32.04,88,95,27.38
347,yanam,1252795,16.73,73.75,56,87,2.33
348,katesh,158178,-4.52,60.84,12,96,3.0
